bedroomcnt,bathroomcnt,calculatedfinishedsquarefeet,taxvaluedollarcnt,fips,yearbuilt
4,2.0,1696,252549,6037,1960
3,2.0,1470,512000,6037,1957
3,2.0,1450,229856,6037,1957
3,2.0,1694,294026,6037,1957
4,3.0,2578,426407,6037,1963
3,3.0,2362,427041,6037,1999
4,3.0,2246,664000,6037,1963
4,4.0,3459,212454,6037,1967
4,2.0,1420,369048,6037,1957
3,2.0,2164,589980,6037,1958
4,3.0,3118,364778,6037,1958
4,2.0,2001,381354,6037,1963
4,3.0,2820,613696,6037,1965
4,3.0,2929,720827,6037,1961
4,3.0,2568,273635,6037,1964
3,2.0,1513,132637,6037,1958
3,2.0,1582,442097,6037,1959
3,2.0,1456,170999,6037,1959
4,2.0,2272,395812,6037,1965
3,2.0,1474,414240,6037,1978
3,2.0,1198,342555,6037,1957
4,4.0,2548,467964,6037,1960
5,3.0,2641,231523,6037,1977
4,2.0,1951,258037,6037,1959
4,2.0,1626,442097,6037,1959
3,3.0,2360,685000,6037,1958
4,4.0,2973,371456,6037,1988
3,3.0,2146,253211,6037,1979
2,2.0,1042,320345,6037,1947
4,3.0,2003,582525,6037,1960
4,2.0,1631,202779,6037,1970
4,3.0,2203,156816,6037,1967
4,2.0,1631,317821,6037,1969
3,3.0,2618,139339,6037,1964
3,2.0,1812,241175,6037,1974
4,4.0,3083,538410,6037,1979
4,3.0,2417,195224,6037,1976
3,3.0,2212,529117,6037,1958
4,4.0,2911,603141,6037,1973
5,3.0,2529,463495,6037,1966
4,2.0,1928,340908,6037,1964
3,2.0,1470,457795,6037,1964
4,2.0,2154,460622,6037,1964
5,3.0,2501,721220,6037,1964
5,3.0,2576,158142,6037,1966
4,2.0,2154,620000,6037,1966
4,3.0,2277,221474,6037,1967
4,3.0,2552,562739,6037,1968
4,3.0,2458,176001,6037,1962
3,2.0,2119,624000,6037,1958
4,3.0,2168,402725,6037,1964
4,2.0,1734,368556,6037,1957
4,2.0,1590,102050,6037,1958
4,2.0,1983,109307,6037,1965
3,2.0,1530,511906,6037,1957
3,3.0,2044,242695,6037,1957
3,2.0,1920,479821,6037,1960
3,2.0,1870,494109,6037,1959
3,2.0,1590,118736,6037,1958
4,2.0,2172,285031,6037,1960
3,4.0,2186,298548,6037,1952
2,1.0,903,430000,6037,1956
4,2.0,2100,104332,6037,1961
5,3.0,2622,537495,6037,1969
5,3.0,3446,822304,6037,1976
4,3.0,2306,357429,6037,1964
4,3.0,2107,350009,6037,1976
4,3.0,2601,389486,6037,1974
4,3.0,2167,142834,6037,1968
5,3.0,2627,688000,6037,1973
4,3.0,2711,555320,6037,1962
5,4.0,3557,445679,6037,1996
5,3.0,3372,717551,6037,1980
4,3.0,2901,372303,6037,1979
4,2.0,1922,503248,6037,1973
4,2.0,1681,547000,6037,1964
2,2.0,1276,578264,6037,1950
3,2.0,1175,327859,6037,1953
3,2.0,1630,63948,6037,1953
2,2.0,1206,356218,6037,1954
3,2.0,1790,242773,6037,1964
3,2.0,1400,251246,6037,1953
4,3.0,2603,185086,6037,1976
4,2.0,1443,480000,6037,1963
3,2.0,1374,369312,6037,1961
3,2.0,1894,505000,6037,1959
4,2.0,1833,210551,6037,1963
3,2.0,1416,63119,6037,1960
3,2.0,1744,77073,6037,1955
4,2.0,1554,63528,6037,1956
3,2.0,1470,214455,6037,1956
3,3.0,1778,93355,6037,1958
3,3.0,1896,223709,6037,1956
3,2.0,1687,322362,6037,1955
3,2.0,1822,499307,6037,1954
3,2.0,1780,218875,6037,1961
3,2.0,1617,199663,6037,1956
3,2.0,1642,64565,6037,1961
4,2.0,1885,406376,6037,1958
4,2.0,1570,64570,6037,1961
3,2.0,1570,444376,6037,1960
3,2.0,1807,362993,6037,1956
3,2.0,1130,307698,6037,1952
3,3.0,2210,408898,6037,1952
3,2.0,1270,373377,6037,1953
